title,author(s),year,edition,publisher,language,pages,category(s),ISBN_13,rating(5)
Quantitative Economics With R: A Data Science Approach,Vikram Dayal,2020,1st Edition,Springer,english,323,Mathematics,9789811520358,0.0
Data Analysis and Machine Learning with Kaggle: How to win competitions on Kaggle and build a successful career in data science,Konrad Banachewicz,2021,,Packt Publishing - ebooks Account,english,384,,9781801817479,0.0
"Data Science from Scratch: The #1 Data Science Guide for Everything A Data Scientist Needs to Know: Python, Linear Algebra, Statistics, Coding, Applications, Neural Networks, and Decision Tree",Cooper Steven,2018,,,english,,,,0.0
Python for Data Science For Dummies,"John Paul Mueller, Luca Massaron",2015,1,Wiley,english,432,Computers - Networking,,0.0
"ARTIFICIAL INTELLIGENCE BUSINESS APPLICATIONS: How to Learn Applied Artificial Intelligence and Use Data Science for Business. Includes Data Analytics, Machine Learning for Business and Python","FORD, WILLIAM J.",2020,,,english,,,,0.0
"JupyterLab Quick Start Guide: A beginner's guide to the next-gen, web-based interactive computing environment for data science","Lindsay Richman, Melissa Ferrari, Joseph Oladokun, Wesley Banfield, Dan Toomey",2019,1,Packt Publishing,english,160,Computers - Databases,9781789805543,0.0
Python Data Science: After work guide to start learning Data Science on your own. Avoid common beginners mistakes of coding. Approach Panda and NumPy to become a brilliant computer programmer.,"HOOD, CODING, Kölling, Michail",2020,,,english,,,,0.0
Apache Spark 2.x Cookbook: Cloud-ready recipes for analytics and data science,Rishi Yadav,2017,2nd,Packt Publishing,english,294,Computers,9781787127265,0.0
,,,,,,,,,
,,,,,,,,,
Report Writing for Data Science in R,Roger D. Peng,2015,,,english,120,"Computers - Lectures, monographs",,0.0
Big Data Science in Finance,"Irene Aldridge, Marco Avellaneda",2021,,Wiley,english,,Business & Economics - Personal Finance,9781119602996,0.0
,,,,,,,,,
"Metaprogramming in R: Advanced Statistical Programming for Data Science, Analysis and Finance",Thomas Mailund (auth.),2017,1,Apress,english,106,Computers - Programming,9781484228814,0.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data Science Foundations: Geometry and Topology of Complex Hierarchic Systems and Big Data Analytics,Fionn Murtagh,2017,1,Chapman and Hall/CRC,english,224,Mathematics,9781498763936,0.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Applied Missing Data Analysis (Methodology In The Social Sciences),Craig K. Enders PhD,2010,1,,english,377,Mathematics,9781606236390,0.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Foundational Python for Data Science,Kennedy Behrman,2021,,Addison-Wesley Professional,english,,Computers - Databases,9780136624356,0.0
"Python for Beginners: Comprehensive Guide to the Basics of Programming, Machine Learning, Data Science and Analysis with Python.","Campbell, Alex",2021,,,english,471,,,0.0
Generalized Linear Models for Insurance Data (International Series on Actuarial Science),"Piet de Jong, Gillian Z. Heller",2008,,Cambridge University Press,english,206,Mathematics,9780521879149,0.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Big Data in Computational Social Science and Humanities,Shu-Heng Chen,2018,,Springer,english,391,Computers - Computer Science,9783319954646,0.0
Data Science. Наука о данных с нуля,Грас Джоэл,2017,,БХВ-Петербург,russian,337,,,0.0
Advanced Multi-industry Applications of Big Data Clustering and Machine Learning,Fausto Pedro Garcia Marquez (editor),2020,,Engineering Science Reference,english,478,Computers - Computer Science,9781799801061,0.0
,,,,,,,,,
XML and Web Technologies for Data Sciences with R,"Deborah Nolan, Duncan Temple Lang (auth.)",2014,1,Springer-Verlag New York,english,663,Science (General),9781461479000,0.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Learn Computer Science with Swift: Computation Concepts, Programming Paradigms, Data Management, and Modern Component Architectures with Swift and Playgrounds",Jesse Feiler,2018,1,Apress,english,309,Computers,9781484230664,0.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Chemometrics : data driven extraction for science,"Brereton, Richard G",2018,Second edition,John Wiley & Sons,english,460,Biology and other natural sciences,9781118904688,0.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
30-Second Data Science,Liberty Vittert,2020,,Ivy Press,english,,Science (General),9780711261952,0.0
,,,,,,,,,
Fundamentals of Data Science,"Sanjeev J. Wagh, Manisha S. Bhende, Anuradha D. Thakare",2021,1,Chapman and Hall/CRC,english,296,Mathematics,9781138336186,0.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Data Science at the Command Line, 2nd Edition",Jeroen Janssens [Jeroen Janssens],2021,,"O'Reilly Media, Inc.",english,,,,0.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data structures and algorithms with C,"Pal, Debdutta, Halder, Suman",2018,,Alpha Science International,english,354,Engineering,9781783323685,0.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Introduction to Python in Earth Science Data Analysis From Descriptive Statistics to Machine Learning,Maurizio Petrelli,2021,1,Springer Nature Switzerland,english,229,Mathematics,9783030780555,0.0
,,,,,,,,,
,,,,,,,,,
Scala: Guide for Data Science Professionals,"Pascal Bugnion, Arun Manivannan, Patrick R. Nicolas",2017,1,Packt Publishing,english,1650,Computers - Computer Science,9781787282858,0.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"The Data Science Workshop: A New, Interactive Approach to Learning Data Science","Anthony So, Thomas V. Joseph, Robert Thas John, Andrew Worsley, Dr. Samuel Asare",2020,,Packt Publishing,english,818,Computers - Databases,9781838981266,0.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Python for Data Science For Dummies,"Massaron, Luca, John Paul Mueller",2019,2nd edition,For Dummies,english,496,Computers - Programming,9783540354871,0.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
